term,date,count
disinformation,2014-09,6
disinformation,2014-10,20
disinformation,2014-11,19
disinformation,2014-12,7
disinformation,2015-01,23
disinformation,2015-02,7
disinformation,2015-03,4
disinformation,2015-04,2
disinformation,2015-05,9
disinformation,2015-06,25
disinformation,2015-07,11
disinformation,2015-08,10
disinformation,2015-09,6
disinformation,2015-10,11
disinformation,2015-11,15
disinformation,2015-12,3
disinformation,2016-01,40
disinformation,2016-02,6
disinformation,2016-03,2
disinformation,2016-04,5
disinformation,2016-05,22
disinformation,2016-06,19
disinformation,2016-07,20
disinformation,2016-08,55
disinformation,2016-09,19
disinformation,2016-10,18
disinformation,2016-11,48
disinformation,2016-12,114
disinformation,2017-01,140
disinformation,2017-02,53
disinformation,2017-03,94
disinformation,2017-04,79
disinformation,2017-05,72
disinformation,2017-06,88
disinformation,2017-07,59
disinformation,2017-08,52
disinformation,2017-09,115
disinformation,2017-10,193
disinformation,2017-11,131
disinformation,2017-12,92
disinformation,2018-01,234
disinformation,2018-02,198
disinformation,2018-03,209
disinformation,2018-04,157
disinformation,2018-05,87
disinformation,2018-06,81
disinformation,2018-07,214
disinformation,2018-08,305
disinformation,2018-09,262
disinformation,2018-10,425
disinformation,2018-11,325
disinformation,2018-12,338
disinformation,2019-01,253
disinformation,2019-02,190
disinformation,2019-03,244
disinformation,2019-04,251
disinformation,2019-05,297
disinformation,2019-06,309
disinformation,2019-07,306
disinformation,2019-08,337
disinformation,2019-09,348
disinformation,2019-10,598
disinformation,2019-11,466
disinformation,2019-12,543
disinformation,2020-01,560
disinformation,2020-02,449
disinformation,2020-03,474
disinformation,2020-04,519
disinformation,2020-05,366
disinformation,2020-06,432
disinformation,2020-07,439
disinformation,2020-08,559
disinformation,2020-09,737
disinformation,2020-10,1180
disinformation,2020-11,703
disinformation,2020-12,405
disinformation,2021-01,631
disinformation,2021-02,466
disinformation,2021-03,483
disinformation,2021-04,297
disinformation,2021-05,405
disinformation,2021-06,303
disinformation,2021-07,394
disinformation,2021-08,387
disinformation,2021-09,262
disinformation,2021-10,363
disinformation,2021-11,399
disinformation,2021-12,275
disinformation,2022-01,412
disinformation,2022-02,602
disinformation,2022-03,782
disinformation,2022-04,692
disinformation,2022-05,769
disinformation,2022-06,369
disinformation,2022-07,294
disinformation,2022-08,512
disinformation,2022-09,338
disinformation,2022-10,510
disinformation,2022-11,479
disinformation,2022-12,233
disinformation,2023-01,235
disinformation,2023-02,371
disinformation,2023-03,331
disinformation,2023-04,404
disinformation,2023-05,304
disinformation,2023-06,288
disinformation,2023-07,344
disinformation,2023-08,239
disinformation,2023-09,323
disinformation,2023-10,419
disinformation,2023-11,351
disinformation,2023-12,345
disinformation,2024-01,317
disinformation,2024-02,256
disinformation,2024-03,491
disinformation,2024-04,387
disinformation,2024-05,356
disinformation,2024-06,306
disinformation,2024-07,247
disinformation,2024-08,384
disinformation,2024-09,420
disinformation,2024-10,600
disinformation,2024-11,469
disinformation,2024-12,220
disinformation,2025-01,363
disinformation,2025-02,329
disinformation,2025-03,143
disinformation,2025-04,188
disinformation,2025-05,0
disinformation,2025-06,0
disinformation,2025-07,0
fake_news,1980-01,0
fake_news,1980-02,0
fake_news,1980-03,0
fake_news,1980-04,0
fake_news,1980-05,0
fake_news,1980-06,0
fake_news,1980-07,0
fake_news,1980-08,0
fake_news,1980-09,0
fake_news,1980-10,0
fake_news,1980-11,0
fake_news,1980-12,0
fake_news,1981-01,0
fake_news,1981-02,0
fake_news,1981-03,0
fake_news,1981-04,0
fake_news,1981-05,0
fake_news,1981-06,0
fake_news,1981-07,0
fake_news,1981-08,0
fake_news,1981-09,0
fake_news,1981-10,0
fake_news,1981-11,0
fake_news,1981-12,0
fake_news,1982-01,0
fake_news,1982-02,0
fake_news,1982-03,0
fake_news,1982-04,0
fake_news,1982-05,0
fake_news,1982-06,0
fake_news,1982-07,0
fake_news,1982-08,0
fake_news,1982-09,0
fake_news,1982-10,0
fake_news,1982-11,0
fake_news,1982-12,0
fake_news,1983-01,0
fake_news,1983-02,0
fake_news,1983-03,0
fake_news,1983-04,0
fake_news,1983-05,0
fake_news,1983-06,0
fake_news,1983-07,0
fake_news,1983-08,0
fake_news,1983-09,0
fake_news,1983-10,0
fake_news,1983-11,0
fake_news,1983-12,0
fake_news,1984-01,0
fake_news,1984-02,0
fake_news,1984-03,0
fake_news,1984-04,0
fake_news,1984-05,0
fake_news,1984-06,0
fake_news,1984-07,0
